1 3 5
412 2.94566 5.3206
413 2.94882 5.31166
414 2.95189 5.30265
415 2.95487 5.29358
416 2.95776 5.28445
417 2.96056 5.27527
418 2.96327 5.26603
419 2.96588 5.25674
420 2.9684 5.2474
421 2.97083 5.238
422 2.97316 5.22856
423 2.9754 5.21908
424 2.97754 5.20955
425 2.97959 5.19998
426 2.98154 5.19036
427 2.9834 5.18071
428 2.98516 5.17103
429 2.98682 5.16131
430 2.98838 5.15156
431 2.98985 5.14177
432 2.99122 5.13196
433 2.99249 5.12212
434 2.99366 5.11226
435 2.99473 5.10238
436 2.99571 5.09247
437 2.99658 5.08255
438 2.99736 5.07261
439 2.99803 5.06265
440 2.99861 5.05269
441 2.99909 5.04271
442 2.99947 5.03272
443 2.99974 5.02273
444 2.99992 5.01273
445 3 5.00273
446 2.99997 4.99273
447 2.99985 4.98274
448 2.99963 4.97274
449 2.99931 4.96275
450 2.99888 4.95277
451 2.99836 4.9428
452 2.99774 4.93283
453 2.99702 4.92289
454 2.9962 4.91295
455 2.99528 4.90304
456 2.99426 4.89314
457 2.99314 4.88327
458 2.99192 4.87342
459 2.99061 4.86359
460 2.9892 4.85379
461 2.98769 4.84402
462 2.98608 4.83428
463 2.98437 4.82458
464 2.98257 4.81491
465 2.98067 4.80528
466 2.97867 4.79568
467 2.97658 4.78613
468 2.9744 4.77662
469 2.97211 4.76715
470 2.96974 4.75774
471 2.96727 4.74836
472 2.96471 4.73904
473 2.96205 4.72978
474 2.9593 4.72056
475 2.95646 4.7114
476 2.95353 4.7023
477 2.95051 4.69326
478 2.9474 4.68428
479 2.94419 4.67537
480 2.9409 4.66652
481 2.93752 4.65773
482 2.93406 4.64901
483 2.9305 4.64037
484 2.92686 4.63179
485 2.92314 4.62329
486 2.91933 4.61487
487 2.91544 4.60652
488 2.91146 4.59825
489 2.9074 4.59006
490 2.90326 4.58196
491 2.89904 4.57393
